Sun Jun 22 07:52:25 UTC 2025 | CPU: 14.6% | MEM: 5.55% | DISK: 19% | LOAD: 0.00, 0.05, 0.18
Sun Jun 22 07:52:31 UTC 2025 | CPU: 3.1% | MEM: 5.55% | DISK: 19% | LOAD: 0.00, 0.05, 0.18
Sun Jun 22 07:52:36 UTC 2025 | CPU: 6.5% | MEM: 5.55% | DISK: 19% | LOAD: 0.00, 0.05, 0.17
Sun Jun 22 07:52:42 UTC 2025 | CPU: 3.1% | MEM: 5.55% | DISK: 19% | LOAD: 0.00, 0.05, 0.17
Sun Jun 22 07:52:47 UTC 2025 | CPU: 3.1% | MEM: 5.55% | DISK: 19% | LOAD: 0.00, 0.05, 0.17
Sun Jun 22 07:52:52 UTC 2025 | CPU: 3.4% | MEM: 5.55% | DISK: 19% | LOAD: 0.00, 0.05, 0.17
Sun Jun 22 07:52:58 UTC 2025 | CPU: 3.2% | MEM: 5.55% | DISK: 19% | LOAD: 0.00, 0.05, 0.17
Sun Jun 22 07:53:03 UTC 2025 | CPU: 6.5% | MEM: 5.55% | DISK: 19% | LOAD: 0.00, 0.05, 0.17
Sun Jun 22 07:53:09 UTC 2025 | CPU: 3.3% | MEM: 5.55% | DISK: 19% | LOAD: 0.00, 0.04, 0.17
Sun Jun 22 07:53:14 UTC 2025 | CPU: 100% | MEM: 5.55% | DISK: 19% | LOAD: 0.00, 0.04, 0.17
Sun Jun 22 07:53:20 UTC 2025 | CPU: 6.7% | MEM: 5.55% | DISK: 19% | LOAD: 0.00, 0.04, 0.17
Sun Jun 22 07:53:25 UTC 2025 | CPU: 4.4% | MEM: 5.55% | DISK: 19% | LOAD: 0.00, 0.04, 0.16
Sun Jun 22 07:53:31 UTC 2025 | CPU: 100% | MEM: 5.55% | DISK: 19% | LOAD: 0.00, 0.04, 0.16
Sun Jun 22 07:53:36 UTC 2025 | CPU: 5.3% | MEM: 5.55% | DISK: 19% | LOAD: 0.00, 0.04, 0.16
Sun Jun 22 07:53:42 UTC 2025 | CPU: 100% | MEM: 5.55% | DISK: 19% | LOAD: 0.00, 0.04, 0.16
Sun Jun 22 07:53:48 UTC 2025 | CPU: 5.6% | MEM: 5.55% | DISK: 19% | LOAD: 0.00, 0.04, 0.16
Sun Jun 22 07:53:53 UTC 2025 | CPU: 100% | MEM: 5.55% | DISK: 19% | LOAD: 0.00, 0.04, 0.16
Sun Jun 22 07:53:59 UTC 2025 | CPU: 33.3% | MEM: 5.55% | DISK: 19% | LOAD: 0.00, 0.03, 0.16
Sun Jun 22 07:54:05 UTC 2025 | CPU: 6.5% | MEM: 5.57% | DISK: 19% | LOAD: 0.24, 0.08, 0.17
Sun Jun 22 07:54:10 UTC 2025 | CPU: 6.7% | MEM: 5.57% | DISK: 19% | LOAD: 0.22, 0.08, 0.17
Sun Jun 22 07:54:15 UTC 2025 | CPU: 100% | MEM: 5.57% | DISK: 19% | LOAD: 0.20, 0.08, 0.17
Sun Jun 22 07:54:21 UTC 2025 | CPU: 100% | MEM: 5.57% | DISK: 19% | LOAD: 0.19, 0.08, 0.17
Sun Jun 22 07:54:26 UTC 2025 | CPU: 7.5% | MEM: 5.57% | DISK: 19% | LOAD: 0.17, 0.08, 0.17
Sun Jun 22 07:54:32 UTC 2025 | CPU: 100% | MEM: 5.57% | DISK: 19% | LOAD: 0.16, 0.08, 0.17
Sun Jun 22 07:54:37 UTC 2025 | CPU: 3% | MEM: 5.57% | DISK: 19% | LOAD: 0.21, 0.09, 0.17
Sun Jun 22 07:54:43 UTC 2025 | CPU: 100% | MEM: 5.57% | DISK: 19% | LOAD: 0.20, 0.09, 0.17
